question,winner_after_swap,run1_winner,run2_winner
Nghị định 13/2023/NĐ-CP quy định về vấn đề gì?,B,B,B
Nghị định 13/2023/NĐ-CP áp dụng cho những đối tượng nào?,Tie,Tie,Tie
"Theo Nghị định 13, dữ liệu cá nhân là gì?",A,Tie,A
Dữ liệu cá nhân gồm những nhóm nào?,B,B,B
Dữ liệu cá nhân cơ bản gồm những thông tin nào?,Tie,Tie,Tie
Dữ liệu cá nhân nhạy cảm theo Nghị định 13 bao gồm những loại nào?,Tie,Tie,Tie
Chủ thể dữ liệu có những quyền gì theo Điều 9 Nghị định 13?,Tie,Tie,Tie
Quyền đồng ý của chủ thể dữ liệu được hiểu như thế nào?,Tie,Tie,Tie
Sự đồng ý của chủ thể dữ liệu chỉ có hiệu lực khi nào?,Tie,Tie,Tie
Chủ thể dữ liệu có nghĩa vụ gì theo Nghị định 13?,Tie,Tie,Tie
Việc thông báo xử lý dữ liệu cá nhân phải được thực hiện khi nào?,Tie,Tie,Tie
Khi nào có thể xử lý dữ liệu cá nhân mà không cần sự đồng ý của chủ thể dữ liệu?,Tie,Tie,Tie
Việc xử lý dữ liệu cá nhân của trẻ em cần điều kiện gì?,Tie,Tie,Tie
"Khi phát hiện vi phạm quy định bảo vệ dữ liệu cá nhân, phải thông báo trong thời hạn bao lâu?",A,Tie,A
Cơ quan chuyên trách bảo vệ dữ liệu cá nhân là cơ quan nào?,Tie,Tie,Tie
Công ty trong tờ khai thuế GTGT là công ty nào?,B,Tie,B
Mã số thuế của Công ty Cổ phần DHA Surfaces là bao nhiêu?,Tie,Tie,Tie
Kỳ tính thuế trong tờ khai thuế GTGT của DHA Surfaces là kỳ nào?,B,B,B
Thuế giá trị gia tăng còn được khấu trừ kỳ trước chuyển sang của DHA Surfaces là bao nhiêu?,B,B,B
Thuế giá trị gia tăng còn phải nộp trong kỳ của DHA Surfaces là bao nhiêu?,B,B,B
Bảo vệ dữ liệu cá nhân được định nghĩa như thế nào?,Tie,Tie,Tie
Xử lý dữ liệu cá nhân bao gồm những hoạt động nào?,Tie,Tie,Tie
Tổng doanh thu hàng hóa dịch vụ bán ra của DHA Surfaces là bao nhiêu?,B,B,B
Thuế GTGT của hàng hóa mua vào trong kỳ là bao nhiêu?,B,B,B
Hàng hóa bán ra chịu thuế suất 10% có giá trị bao nhiêu?,Tie,B,A
"So sánh quyền và nghĩa vụ của chủ thể dữ liệu theo Nghị định 13, quyền nào có thể bị hạn chế?",Tie,Tie,Tie
Tại sao Nghị định 13 quy định thời hạn 72 giờ cho nhiều hoạt động khác nhau?,Tie,Tie,Tie
"Điểm khác biệt giữa Bên Kiểm soát, Bên Xử lý, và Bên Kiểm soát và xử lý dữ liệu cá nhân là gì?",Tie,Tie,Tie
Thuế GTGT phát sinh trong kỳ được tính như thế nào từ các chỉ tiêu trong tờ khai?,Tie,Tie,Tie
"Từ tờ khai thuế, DHA Surfaces có lãi hay lỗ trong hoạt động kinh doanh Quý 4/2024?",A,Tie,A
